Task ID	Locality	Task	Information	Requirements	Pts	Comp%
377	Fremennik: Mainland	Defeat a Dagannoth King solo whilst wearing full yak-hide armour and a Fremennik round shield.	Defeat a Dagannoth King solo whilst wearing full yak-hide armour and a Fremennik round shield.	25 Defence	80	0.1%
378	Fremennik: Mainland	Equip a full set of Skeletal, Spined, or Rockshell armour.	Equip a full skeletal, spined, or rock-shell armour set.	50 Defence	80	0.1%
379	Fremennik: Mainland	Collect Miscellania Resources at Full Approval.	Collect from Managing Miscellania with a 100% approval rating.	Completion of Throne of Miscellania	80	0.2%
380	Fremennik: Mainland	Travel to the island of Ungael.	Travel to the island of Ungael.	Partial completion of Ancient Awakening	80	<0.1%
381	Fremennik: Mainland	Adopt a baby yak.	Obtain an unchecked/baby Fremennik yak.	71 Farming	80	<0.1%
382	Fremennik: Mainland	Catch 50 Azure Skillchompas.	Catch 50 azure skillchompas.	68 Hunter	80	0.3%
384	Fremennik: Mainland	Mine 10 Banite Ore north of Rellekka.	Mine 10 Banite ore in the arctic (azure) habitat mine.	80 Mining	80	22.3%
385	Fremennik: Mainland	Smith a piece of Bane equipment to +4 in Rellekka.	Upgrade a piece of bane equipment to +4 in Rellekka.	80 Smithing	80	0.7%
386	Fremennik: Mainland	Use a Crystal triskelion key to obtain some treasures.	Use a crystal triskelion to obtain some treasures.	N/A	80	3.4%
388	Fremennik: Mainland	Create a Catherby Teleport Tablet.	Create a Catherby teleport tablet.	87 Magic, 67 Construction	80	<0.1%
392	Fremennik: Mainland	Gather a seed from an Aquanite using Seedicide.	Gather a seed from an aquanite using Seedicide.	78 Slayer	80	1%
393	Fremennik: Mainland	Complete the task set: Hard Fremennik.	Complete the Hard Fremennik achievements.	Achievement: Hard Fremennik Province	80	<0.1%
387	Fremennik: Lunar Isles	Cast Spellbook Swap from the Lunar spellbook.	Cast Spellbook Swap from the lunar spellbook.	96 Magic	150	<0.1%
389	Fremennik: Mainland	Equip Every Dagannoth King Ring.	Equip every Dagannoth King ring.	N/A	150	0.2%
390	Fremennik: Mainland	Equip a Completed God Book.	Equip a completed god book.	Completion of Horror from the Deep	150	0.1%
391	Fremennik: Mainland	Defeat 20 Acheron Mammoths.	Defeat 20 acheron mammoths.	96 Slayer	150	<0.1%
394	Fremennik: Mainland	Cast the Paradox spell on any tree, rock, fishing spot, or box trap.	Cast the Paradox spell on any tree, rock, fishing spot, or box trap.	99 Necromancy	150	<0.1%
395	Fremennik: Mainland	Build a Demonic Throne.	Build a demonic throne.	99 Construction	150	<0.1%
397	Fremennik: Lunar Isles	Perform a Powerful Necroplasm ritual at the Ungael ritual site.	Perform a powerful necroplasm ritual at the Ungael ritual site.	90 Necromancy	150	<0.1%
398	Fremennik: Mainland	Defeat the Abomination once after Hero's Welcome.	Defeat the Abomination once after Hero's Welcome.	N/A	150	<0.1%
399	Fremennik: Mainland	Summon a Pack Mammoth.	Summon a pack mammoth.	96 Summoning	150	<0.1%
400	Fremennik: Mainland	Complete the task set: Elite Fremennik.	Complete the Elite Fremennik achievements.	Achievement: Elite Fremennik Province	150	<0.1%
401	Fremennik: Mainland	Complete the Ungael combat activity on hard mode.	Complete the Ungael combat activity on hard mode.	N/A	150	<0.1%
402	Fremennik: Mainland	Use the Trap Telekinesis spell to catch Azure Skillchompas 25 times.	Use the Trap Telekinesis spell to catch azure skillchompas 25 times.	70 Magic	150	<0.1%
396	Fremennik: Mainland	Equip every completed God Book.	Equip every completed god book.	Completion of Horror from the Deep	150	<0.1%
127	Global	Level up any of your skills for the first time.	Level up any of your skills for the first time.	N/A	10	98.4%
128	Global	Reach level 5 in any skill.	Reach level 5 in any skill.	N/A	10	97.7%
129	Global	Reach level 10 in any skill.	Reach level 10 in any skill.	N/A	10	97%
130	Global	Reach level 20 in any skill.	Reach level 20 in any skill.	N/A	10	95.5%
136	Global	Reach combat level 5.	Reach combat level 5.	N/A	10	94.4%
137	Global	Reach combat level 10.	Reach combat level 10.	N/A	10	91.3%
141	Global	Reach total level 50.	Reach total level 50.	N/A	10	97.3%
142	Global	Reach total level 100.	Reach total level 100.	N/A	10	94.4%
147	Global	Mine a copper ore.	Mine copper ore from a copper rock.	1 Mining	10	93.1%
148	Global	Mine 10 copper ore.	Mine 10 copper ore.	1 Mining	10	92.2%
149	Global	Mine a tin ore.	Mine tin ore from a tin rock.	1 Mining	10	91.3%
150	Global	Mine 10 tin ore.	Mine 10 tin ore.	1 Mining	10	89.9%
151	Global	Smelt a bronze bar.	Smelt a bronze bar.	1 Smithing	10	92.7%
152	Global	Smelt 10 bronze bars.	Smelt 10 bronze bars.	1 Smithing	10	92.2%
153	Global	Smith any bronze item.	Smith any bronze item.	1 Smithing	10	87.5%
154	Global	Mine clay.	Mine clay.	1 Mining	10	87.2%
155	Global	Make some soft clay.	Make soft clay by using clay on a water source or with a container of water	N/A	10	77.5%
156	Global	Mine any ore 5 times.	Mine any ore 5 times.	1 Mining	10	93.4%
159	Global	Chop any tree 5 times.	Chop any tree 5 times.	1 Woodcutting	10	90.1%
162	Global	Chop a basic tree.	Chop a basic tree.	1 Woodcutting	10	93.2%
163	Global	Chop 10 basic trees.	Chop 10 basic trees.	1 Woodcutting	10	88.5%
164	Global	Chop an oak tree.	Chop an oak tree.	10 Woodcutting	10	83.9%
166	Global	Burn any logs.	Burn any logs.	1 Firemaking	10	91.8%
167	Global	Burn any logs 5 times.	Burn any logs 5 times.	1 Firemaking	10	87.2%
170	Global	Catch a shrimp.	Catch a raw shrimp.	1 Fishing	10	87.7%
171	Global	Catch 10 shrimp.	Catch 10 raw shrimps.	1 Fishing	10	86.7%
172	Global	Catch an anchovy.	Catch a raw anchovy.	15 Fishing	10	72%
173	Global	Catch a herring.	Catch a raw herring.	10 Fishing	10	65.9%
174	Global	Cook shrimp, meat, or chicken.	Cook raw shrimps, raw meat, or raw chicken.	1 Cooking	10	92.3%
175	Global	Cook 10 shrimp, meat, or chicken.	Cook 10 raw shrimps, raw meat, or raw chicken.	1 Cooking	10	86.8%
176	Global	Burn any food.	Burn any food.	1 Cooking	10	86.5%
177	Global	Catch any fish 5 times.	Catch any fish 5 times.	1 Fishing	10	88.8%
180	Global	Bury any bones.	Bury any bones.	1 Prayer	10	94.4%
181	Global	Bury any bones 10 times.	Bury any bones 10 times.	1 Prayer	10	86.9%
182	Global	Activate the thick skin, rock skin, or steel skin Prayer.	Activate the Thick Skin, Rock Skin, or Steel Skin prayer.	1 Prayer	10	86%
183	Global	Run out of Prayer points.	Run out of Prayer points.	1 Prayer	10	85.1%
186	Global	Harvest any memory from a wisp 5 times.	Harvest any memory from a wisp 5 times.	1 Divination	10	82.5%
189	Global	Pickpocket from a man or woman.	Pickpocket from a man or woman.	1 Thieving	10	89.2%
190	Global	Pickpocket from a man or woman 10 times.	Pickpocket from a man or woman 10 times.	1 Thieving	10	86.2%
191	Global	Steal from any stall.	Steal from any stall.	2 Thieving	10	86.2%
192	Global	Steal from any stall 10 times.	Steal from any stall 10 times.	2 Thieving	10	84.7%
193	Global	Pickpocket anyone 5 times.	Pickpocket anyone 5 times.	1 Thieving	10	88.1%
196	Global	Rake any farming patch.	Rake any farming patch.	1 Farming	10	81.7%
197	Global	Plant seeds in any farming patch.	Plant seeds in any farming patch.	1 Farming	10	72.6%
198	Global	Plant seeds in any farming patch 10 times.	Plant seeds in any farming patch 10 times.	1 Farming	10	58.5%
200	Global	Add any compostable item to a compost bin.	Add any compostable item to a compost bin.	N/A	10	66.6%
201	Global	Have a tool leprechaun note any produce.	Have a tool leprechaun note any produce.	N/A	10	59.5%
204	Global	Use the Home Teleport spell to return to Lumbridge.	Use the Home Teleport spell to return to Lumbridge.	N/A	10	91.2%
205	Global	Eat a cabbage.	Eat a cabbage.	N/A	10	83.3%
206	Global	Eat a baked potato.	Eat a baked potato.	7 Cooking	10	60%
207	Global	Eat an onion.	Eat an onion.	N/A	10	75.3%
208	Global	Kill an imp.	Kill an imp.	N/A	10	81.2%
209	Global	Kill a chicken.	Kill a chicken.	N/A	10	85.3%
210	Global	Claim a free item from any store.	Claim a free item from any store e.g. a tinderbox from Lumbridge General Store	N/A	10	86.5%
211	Global	Return a free item to any store.	Return a free item to any store e.g. a tinderbox from Lumbridge General Store	N/A	10	74.2%
212	Global	Sell an item to any store.	Sell an item to any store.	N/A	10	86.4%
213	Global	Listen to any musician.	Listen to any musician.	N/A	10	79.2%
214	Global	Pick wheat from a field.	Pick wheat from a field.	N/A	10	83.3%
215	Global	Prospect any rock.	Prospect any rock.	1 Mining	10	76.8%
216	Global	View the skillguide.	View the skill guide.	N/A	10	94.9%
345	Global	Create a Guthix Rest Potion.	Create a Guthix rest potion.	18 Herblore	10	1.6%
770	Global	Make 5 potions of any kind.	Make 5 potions of any kind.	1 Herblore	10	54.5%
773	Global	Drink a Strength Potion.	Drink a Strength Potion.	Giving a limpwurt root and red spiders' eggs to the Apothecary	10	33%
774	Global	Make an Attack Potion.	Make an Attack potion.	1 Herblore	10	63.2%
775	Global	Make a Necromancy Potion.	Make a Necromancy potion.	11 Herblore	10	18.6%
776	Global	Clean 5 Grimy Guam.	Clean 5 grimy guam.	1 Herblore	10	61.9%
777	Global	Clean 15 Grimy Tarromin.	Clean 15 grimy tarromin.	5 Herblore	10	36.1%
778	Global	Clean 5 of any herb.	Clean 5 of any herb.	1 Herblore	10	64.9%
779	Global	Clean 10 of any herb	Clean 10 of any herb	1 Herblore	10	61.6%
782	Global	Fletch an Oak Shortbow (unstrung).	Fletch an unstrung oak shortbow.	20 Fletching	10	52.1%
783	Global	Fletch some arrow shafts.	Fletch some arrow shafts.	1 Fletching	10	81.1%
785	Global	Fletch 50 Bronze bolts.	Fletch 50 bronze bolts.	9 Fletching	10	52.9%
786	Global	Complete 10 laps of any Agility course.	Complete 10 laps of any Agility course.	1 Agility	10	67%
790	Global	Smith 10 of any metal weapon or armour piece.	Smith 10 of any metal weapon or armour piece.	1 Smithing	10	81.7%
794	Global	Open 30 Sedimentary Geodes.	Open 30 sedimentary geodes. These are found randomly while mining.	1 Mining	10	70.5%
795	Global	Maintain nearly maximum stamina when mining for 60 seconds.	Maintain nearly maximum stamina when mining for 60 seconds.	1 Mining	10	69.8%
796	Global	Harvest a Grimy Marrentill.	Harvest a grimy marrentill.	9 Farming	10	38.6%
797	Global	Harvest 10 Grimy Tarromin.	Harvest 10 grimy tarromin.	19 Farming	10	37.3%
798	Global	Cook 5 fish.	Cook 5 fish.	1 Cooking	10	87.4%
801	Global	Make some Bread.	Make some bread. Bread dough can be created by using a pot of flour with water, it must be cooked at a range.	1 Cooking	10	54.9%
802	Global	Make some flour.	Make a pot of flour by grinding wheat at a windmill and collecting the flour in an empty pot.	Wheat and an empty pot	10	77.8%
803	Global	Offer 5 bones of any kind to an altar.	Offer 5 bones (ashes also work) at the chaos altar in the Wilderness, the altar in Fort Forinthry, or an altar in the player-owned house chapel	1 Prayer	10	52.2%
804	Global	Offer 25 bones of any kind to an altar.	Offer 25 bones (ashes also work) at the chaos altar in the Wilderness, the altar in Fort Forinthry, or an altar in the player-owned house chapel	1 Prayer	10	49%
806	Global	Scatter some Ashes.	Scatter some ashes.	1 Prayer	10	74.3%
807	Global	Scatter 25 ashes of any kind.	Scatter 25 ashes of any kind.	1 Prayer	10	38.3%
809	Global	Restore 50 Prayer Points at an Altar at once.	Restore 50 Prayer Points at an Altar at once.	5 Prayer	10	73.7%
811	Global	Activate Superhuman or Ultimate Strength and Improved or Incredible Reflexes prayers at the same time.	Activate Superhuman or Ultimate Strength and Improved or Incredible Reflexes prayers at the same time.	16 Prayer	10	61.9%
812	Global	Catch a Baby Impling.	Catch a baby impling.	17 Hunter	10	26%
813	Global	Catch 10 Implings of any kind.	Catch 10 implings of any kind.	17 Hunter	10	9.7%
816	Global	Catch 5 Hunter creatures.	Catch 5 Hunter creatures.	1 Hunter	10	56.1%
819	Global	Complete 5 Slayer tasks.	Complete 5 Slayer assignments.	1 Slayer	10	45.9%
823	Global	Pick 5 Flax.	Pick 5 flax from flax fields.	N/A	10	70.1%
824	Global	Spin 5 bowstring.	Spin 5 bowstrings by using flax on a spinning wheel.	1 Fletching	10	68.1%
825	Global	Surge a distance of one tile.	Surge a distance of one tile.	5 Agility	10	68.7%
826	Global	Spin a Ball of Wool.	Spin a ball of wool by using wool at a spinning wheel.	1 Fletching	10	74.4%
827	Global	Equip a full set of Iron armour without any upgrades.	Equip an iron full helm, iron platebody, iron platelegs / iron plateskirt, iron gauntlets, iron armoured boots, and an iron kiteshield. Substitutes for pieces (e.g. med helm instead of full helm, chainbody instead of platebody, square shield instead of kite shield) will work. Iron armour can be bought at Horvik's Armour Shop.	10 Defence	10	58.1%
828	Global	Equip a full set of Green Dragonhide armour.	Equip a full set of green dragonhide armour.	40 Defence	10	24.6%
829	Global	Equip a full set of Imphide robes.	Equip a full set of imphide robes.	10 Defence	10	50.3%
830	Global	Equip a full set of Spider silk robes.	Equip a full set of spider silk robes.	20 Defence	10	50.4%
831	Global	Store the items required for an emote clue in a Treasure Trail hidey-hole.	Store the items required for an emote clue in a Treasure Trail hidey-hole.	27 Construction	10	9%
832	Global	Complete an Easy clue scroll.	Complete an easy clue scroll.	N/A	10	43.8%
836	Global	Collect 10 unique items for the General clue rewards collection log.	Collect 10 unique items for the general clue rewards collection log.	N/A	10	29.6%
409	Global	Obtain a Naragi engram from Orla Fairweather.	Obtain a Naragi engram from Orla Fairweather. The engram is given to the player during the tutorial for Memorial to Guthix	1 Divination	10	23.1%
411	Global	Catch a Wild Kebbit.	Catch a wild kebbit.	23 Hunter	10	5%
131	Global	Reach level 50 in any skill.	Reach level 50 in any skill.	Any skill at level 50	30	84.8%
132	Global	Reach at least level 5 in all non-elite skills.	Reach at least level 5 in all non-elite skills.	All skills except Invention at level 5	30	41.8%
133	Global	Reach at least level 10 in all non-elite skills.	Reach at least level 10 in all non-elite skills.	All skills except Invention at level 10	30	36.9%
134	Global	Reach at least level 20 in all non-elite skills.	Reach at least level 20 in all non-elite skills.	All skills except Invention at level 20	30	24.3%
138	Global	Reach combat level 50.	Reach combat level 50.	50 Combat level	30	65.3%
143	Global	Reach total level 500.	Reach total level 500. This task is currently bugged and may complete before you have reached 500 total levels	500 Skills Total level	30	77%
157	Global	Mine any ore 200 times.	Mine any ore 200 times.	1 Mining	30	86.3%
160	Global	Chop any tree 200 times.	Chop any tree 200 times.	1 Woodcutting	30	63%
165	Global	Chop a willow tree.	Chop a willow tree.	20 Woodcutting	30	75.6%
168	Global	Burn any logs 200 times.	Burn any logs 200 times.	1 Firemaking	30	33.8%
178	Global	Catch any fish 200 times.	Catch any fish 200 times.	1 Fishing	30	63.5%
187	Global	Harvest any memory from a wisp 200 times.	Harvest any memory from a wisp 200 times.	1 Divination	30	60%
194	Global	Pickpocket anyone 200 times.	Pickpocket anyone 200 times.	1 Thieving	30	40.6%
199	Global	Plant seeds in any farming patch 100 times.	Plant seeds in any farming patch 100 times.	1 Farming	30	23.7%
202	Global	Unlock all of the Free to Play Lodestones.	Unlock all of the Free to Play Lodestones.	N/A	30	42.4%
771	Global	Make 200 potions of any kind.	Make 200 potions of any kind.	1 Herblore	30	12.9%
780	Global	Clean 200 of any herb.	Clean 200 of any herb.	1 Herblore	30	34.9%
784	Global	Fletch 1,000 arrow shafts.	Fletch 1,000 Arrow Shafts.	1 Fletching	30	67%
787	Global	Complete 25 laps of any Agility course.	Complete 25 laps of any Agility course.	1 Agility	30	39.5%
791	Global	Smith 25 of any metal weapon or armour piece.	Smith 25 of any metal weapon or armour piece.	1 Smithing	30	70.6%
799	Global	Cook 200 fish.	Cook 200 fish.	1 Cooking	30	50.5%
805	Global	Offer 100 bones of any kind to an altar.	Offer 100 bones (ashes also work) at the chaos altar in the Wilderness, the altar in Fort Forinthry, or an altar in the player-owned house chapel	1 Prayer	30	37.7%
808	Global	Scatter 100 ashes of any kind.	Scatter 100 ashes of any kind.	1 Prayer	30	20.4%
810	Global	Restore 500 Prayer Points at an Altar at once.	Restore 500 Prayer Points at an Altar at once.	50 Prayer	30	37.1%
814	Global	Catch 25 Implings of any kind.	Catch 25 implings of any kind.	17 Hunter	30	3.4%
815	Global	Catch 35 Implings of any kind.	Catch 35 Implings of any kind.	17 Hunter	30	2.2%
817	Global	Catch 200 Hunter creatures.	Catch 200 Hunter creatures.	1 Hunter	30	12.2%
833	Global	Complete 25 Easy clue scrolls.	Complete 25 easy clue scrolls.	N/A	30	3.6%
834	Global	Complete 75 Easy clue scrolls.	Complete 75 easy clue scrolls.	N/A	30	0.4%
837	Global	Collect 25 unique items for the General clue rewards collection log.	Collect 25 unique items for the general clue rewards collection log.	N/A	30	11.5%
839	Global	Make 30 Prayer Potions.	Make 30 prayer potions.	38 Herblore	30	16%
840	Global	Make a 4-dose Potion.	Make a 4-dose potion.	1 Herblore	30	3.6%
841	Global	Make 20 Super Attack Potions.	Make 20 super attack potions.	45 Herblore	30	10%
842	Global	Clean 50 Grimy Ranarr.	Clean 50 grimy ranarr.	25 Herblore	30	21.9%
843	Global	Clean 50 Grimy Avantoe.	Clean 50 grimy avantoe.	48 Herblore	30	6.3%
844	Global	Harvest 5 Grimy Ranarr.	Harvest 5 grimy ranarr.	32 Farming	30	31.2%
845	Global	Equip an Iron Crossbow.	Equip an iron crossbow.	10 Ranged	30	25.5%
846	Global	Equip a Maple shieldbow.	Equip a maple shieldbow.	30 Ranged, 30 Defence	30	17.7%
847	Global	Fletch 50 Maple shieldbow (unstrung).	Fletch 50 unstrung maple shieldbows.	55 Fletching	30	16.4%
848	Global	Fletch 400 Steel arrows.	Fletch 400 steel arrows.	30 Fletching	30	34.7%
849	Global	Fletch 100 Iron bolts.	Fletch 100 iron bolts.	39 Fletching	30	27.2%
850	Global	Mine some Ore With a Rune Pickaxe.	Mine some ore with a rune pickaxe.	50 Mining	30	49.7%
851	Global	Mine 20 Mithril Ore.	Mine 20 mithril ore.	30 Mining	30	79%
852	Global	Mine 30 Adamant Ore.	Mine 30 adamantite ore.	40 Mining	30	74.3%
853	Global	Mine 40 Runite Ore.	Mine 40 runite ore.	50 Mining	30	68.5%
854	Global	Open 20 Igenous[sic] Geodes.	Open 20 igneous geodes. These are found randomly while mining from rocks which require at least level 60 Mining	60 Mining	30	41.6%
855	Global	Check a grown Fruit Tree.	Check a tree grown in a fruit tree patch.	27 Farming	30	27.8%
856	Global	Catch 100 Lobsters.	Catch 100 lobsters.	40 Fishing	30	43.5%
857	Global	Catch 50 Swordfish.	Catch 50 swordfish.	50 Fishing	30	31.7%
858	Global	Catch 50 Salmon.	Catch 50 salmon.	30 Fishing	30	53.6%
859	Global	Catch 10 Pike.	Catch 10 pike.	25 Fishing	30	51.9%
860	Global	Make a Pineapple pizza.	Make a pineapple pizza by adding pineapple chunks or a pineapple ring to a plain pizza.	65 Cooking	30	1.7%
861	Global	Make a Stew.	Make a stew: add a raw potato to a bowl of water, then add either cooked meat or chicken, and cook the stew at a range.	25 Cooking	30	9.7%
862	Global	Make a Chocolate Cake.	Make a chocolate cake by adding a chocolate bar to a cooked cake.	50 Cooking	30	10.2%
863	Global	Bury some Baby Dragon bones.	Bury some baby dragon bones.	N/A	30	24.4%
864	Global	Bury 5 Dragon bones.	Bury 5 dragon bones.	1 Prayer	30	30.5%
865	Global	Activate Protect from Melee prayer.	Activate the Protect from Melee prayer.	43 Prayer	30	48.8%
866	Global	Catch a Gourmet Impling.	Catch a gourmet impling.	28 Hunter	30	22.4%
867	Global	Light a Bullseye Lantern.	Light a bullseye lantern.	49 Firemaking	30	8.4%
868	Global	Teleport using Law runes.	Teleport using law runes. The lowest level teleport spell is South Feldip Hills Teleport which also requires one air and one water rune	10 Magic	30	45.8%
869	Global	Craft some Combination runes.	Craft some combination runes: mist runes have the lowest level requirement. They can made by using a pure essence and 1 water rune and a water talisman at the air altar or 1 air rune and an air talisman at the water altar	6 Runecrafting	30	20.3%
870	Global	Craft 100 runes.	Craft 100 runes.	1 Runecrafting	30	48.8%
871	Global	Craft 1,000 runes.	Craft 1,000 runes.	1 Runecrafting	30	14.4%
874	Global	Equip a full set of Steel armour.	Equip a full set of steel armour (helm, body, legs, boots, and gauntlets).	20 Defence	30	54%
875	Global	Equip a full set of Mithril armour.	Equip a full set of mithril armour (full helm, platebody, legs, boots, and gauntlets).	30 Defence	30	51.3%
876	Global	Equip a full set of Adamant armour.	Equip a full set of adamant armour (full helm, platebody, legs, boots, and gauntlets).	40 Defence	30	45.7%
877	Global	Equip a full set of Rune armour.	Equip a full set of rune armour (full helm, platebody, legs, boots, and gauntlets).	50 Defence	30	38.8%
878	Global	Equip a full set of Blue Dragonhide armour.	Equip a full set of blue dragonhide armour.	50 Defence	30	14%
879	Global	Equip a full set of Red Dragonhide armour.	Equip a full set of red Dragonhide armour.	55 Defence	30	4.4%
880	Global	Equip a full set of Batwing robes.	Equip a full set of batwing robes.	30 Defence	30	44.3%
881	Global	Equip a full set of Mystic robes.	Equip a full set of mystic robes.	50 Defence	30	17%
882	Global	Create a Mithril Grapple.	Create a mithril grapple.	59 Fletching, 30 Smithing	30	6.5%
883	Global	Burn 25 Willow logs.	Burn 25 willow logs.	30 Firemaking	30	57.8%
884	Global	Burn 50 Maple logs.	Burn 50 maple logs.	45 Firemaking	30	28.9%
885	Global	Equip any elemental battlestaff.	Equip any elemental battlestaff.	30 Magic	30	32.1%
886	Global	Equip a mystic staff.	Equip a mystic staff.	40 Magic	30	23.2%
887	Global	Obtain 50 Quest Points.	Obtain 50 quest points.	50 Quest points	30	56.9%
891	Global	Complete 100 clues of any tier.	Complete 100 clues of any tier.	N/A	30	4.6%
892	Global	Complete a Medium clue scroll.	Complete a medium clue scroll.	N/A	30	36%
893	Global	Complete 25 Medium clue scrolls.	Complete 25 medium clue scrolls.	N/A	30	6.1%
894	Global	Complete 75 Medium clue scrolls.	Complete 75 medium clue scrolls.	N/A	30	0.5%
896	Global	Complete a Hard clue scroll.	Complete a hard clue scroll.	N/A	30	32.2%
897	Global	Complete 25 Hard clue scrolls.	Complete 25 hard clue scrolls.	N/A	30	10.4%
900	Global	Collect 5 unique items for the Easy clue rewards collection log.	Collect 5 unique items for the easy clue rewards collection log.	N/A	30	34.1%
901	Global	Collect 10 unique items for the Easy clue rewards collection log.	Collect 10 unique items for the easy clue rewards collection log.	N/A	30	27.7%
904	Global	Collect 5 unique items for the Medium clue rewards collection log.	Collect 5 unique items for the medium clue rewards collection log.	N/A	30	31.3%
905	Global	Collect 10 unique items for the Medium clue rewards collection log.	Collect 10 unique items for the Medium clue rewards collection log.	N/A	30	26.4%
908	Global	Collect 5 unique items for the Hard clue rewards collection log.	Collect 5 unique items for the hard clue rewards collection log.	N/A	30	27.8%
912	Global	Equip any 2 pieces of an Elegant outfit.	Equip any 2 pieces of an elegant outfit.	N/A	30	14.9%
913	Global	Equip a composite bow of any kind.	Equip a composite bow of any kind.	20 Ranged	30	18.8%
943	Global	Perform a Special Attack.	Perform a special attack.	5 Attack or 5 Ranged or 5 Magic	30	35.7%
1098	Global	Reach level 30 in any skill.	Reach level 30 in any skill.	N/A	30	93.5%
1099	Global	Reach level 40 in any skill.	Reach level 40 in any skill.	N/A	30	89.9%
1100	Global	Reach level 60 in any skill.	Reach level 60 in any skill.	N/A	30	78.7%
1105	Global	Reach at least level 30 in all non-elite skills.	Reach at least level 30 in all non-elite skills.	All skills except Invention at level 30	30	14.6%
418	Global	Equip a Spottier Cape.	Equip a spottier cape.	66 Hunter	30	0.6%
432	Global	Hunt 10 Spotted Kebbits with the help of a falcon.	Hunt 10 spotted kebbits with using falconry.	43 Hunter	30	3%
433	Global	Complete the quest: The Needle Skips.	Complete The Needle Skips.	Quest: The Needle Skips	30	2.6%
443	Global	Catch a Monkfish.	Catch a raw monkfish.	62 Fishing	80	2.2%
444	Global	Recover all data for one memory-storage bot in the Hall of Memories.	Recover all data for memory-storage bot (Aagi) in the Hall of Memories.	70 Divination	80	2.7%
459	Global	Mine 25 Platinum Ore south of Piscatoris Fishing Colony.	Mine 25 platinum ores south of Piscatoris Fishing Colony.	70 Mining	80	<0.1%
460	Global	Chop 50 Eternal Magic logs.	Chop 50 eternal magic logs.	75 Woodcutting	80	<0.1%
135	Global	Reach at least level 50 in all non-elite skills.	Reach at least level 50 in all non-elite skills.	All skills except Invention at level 50	80	1.3%
139	Global	Reach combat level 100.	Reach combat level 100.	100 Combat	80	16.6%
144	Global	Reach total level 1000.	Reach total level 1000. This task is currently bugged and may complete before you have reached 1000 total levels	1000 Skills Total level	80	48.4%
158	Global	Mine any ore 1000 times.	Mine any ore 1000 times.	N/A	80	67%
161	Global	Chop any tree 1000 times.	Chop any tree 1000 times.	N/A	80	9.7%
169	Global	Burn any logs 1000 times.	Burn any logs 1000 times.	N/A	80	2.3%
179	Global	Catch any fish 1000 times.	Catch any fish 1000 times.	N/A	80	9%
188	Global	Harvest any memory from a wisp 1000 times.	Harvest any memory from a wisp 1000 times.	N/A	80	11.5%
195	Global	Pickpocket anyone 1000 times.	Pickpocket anyone 1000 times.	N/A	80	8.9%
203	Global	Unlock all of the Lodestones.	Unlock all of the lodestones.	N/A	80	<0.1%
772	Global	Make 1,000 potions of any kind.	Make 1,000 potions of any kind.	N/A	80	0.5%
781	Global	Clean 1,000 of any herb.	Clean 1,000 of any herb.	N/A	80	8.4%
788	Global	Complete 50 laps of any Agility course.	Complete 50 laps of any Agility course.	N/A	80	13.3%
789	Global	Complete 100 laps of any Agility course.	Complete 100 laps of any Agility course.	N/A	80	3.7%
792	Global	Smith 50 of any metal weapon or armour piece.	Smith 50 of any metal weapon or armour piece.	N/A	80	52.5%
793	Global	Smith 100 of any metal weapon or armour piece.	Smith 100 of any metal weapon or armour piece.	N/A	80	35.4%
800	Global	Cook 1,000 fish.	Cook 1,000 fish.	N/A	80	5.3%
818	Global	Catch 1,000 Hunter creatures.	Catch 1,000 Hunter creatures.	N/A	80	0.9%
820	Global	Complete 15 Slayer tasks.	Complete 15 Slayer tasks.	N/A	80	8.1%
835	Global	Complete 150 Easy clue scrolls.	Complete 150 easy clue scrolls.	N/A	80	0.1%
838	Global	Collect 50 unique items for the General clue rewards collection log.	Collect 50 unique items for the general clue rewards collection log.	N/A	80	<0.1%
872	Global	Craft 10,000 runes.	Craft 10,000 runes.	N/A	80	<0.1%
873	Global	Craft 20,000 runes.	Craft 20,000 runes.	N/A	80	<0.1%
888	Global	Obtain 75 Quest Points.	Obtain 75 quest points.	75 Quest points	80	21.1%
889	Global	Obtain 100 Quest Points.	Obtain 100 quest points.	100 Quest points	80	6%
895	Global	Complete 150 Medium clue scrolls.	Complete 150 medium clue scrolls.	N/A	80	0.1%
898	Global	Complete 75 Hard clue scrolls.	Complete 75 hard clue scrolls.	N/A	80	0.8%
899	Global	Complete 150 Hard clue scrolls.	Complete 150 hard clue scrolls.	N/A	80	0.1%
902	Global	Collect 25 unique items for the Easy clue rewards collection log.	Collect 25 unique items for the easy clue rewards collection log.	N/A	80	7.1%
903	Global	Collect 50 unique items for the Easy clue rewards collection log.	Collect 50 unique items for the easy clue rewards collection log.	N/A	80	1%
906	Global	Collect 25 unique items for the Medium clue rewards collection log.	Collect 25 unique items for the medium clue rewards collection log.	N/A	80	10.1%
907	Global	Collect 50 unique items for the Medium clue rewards collection log.	Collect 50 unique items for the medium clue rewards collection log.	N/A	80	3.7%
909	Global	Collect 10 unique items for the Hard clue rewards collection log.	Collect 10 unique items for the hard clue rewards collection log.	N/A	80	17.1%
910	Global	Collect 25 unique items for the Hard clue rewards collection log.	Collect 25 unique items for the hard clue rewards collection log.	N/A	80	12.2%
914	Global	Equip any Dragon mask.	Equip any dragon mask.	N/A	80	11.3%
915	Global	Make any Perfect Juju Potion.	Make any perfect juju potion.	75 Herblore	80	<0.1%
